id,title,price,hood,link,source,amenities,lat,lon,in_search_area,address,bedrooms,bathrooms,postdate,sqft,L_min_dist,closest_L_stop
7429898763,2Bed/1Bath Dippin' in Douglas Park For Rent,1100.0, (Douglas Park city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-2bed-1bath-dippin-in-douglas/7429898763.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: monthly']",41.849,-87.7157,False,19th near Cullerton,2,1,2022-01-07 13:45,,,
7429869278,Recent Rehab 2BD/1BA Available! Don't Wait!,1400.0, (Belmont Cragin city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-recent-rehab-2bd-1ba-available/7429869278.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'laundry in bldg', 'street parking', 'rent period: monthly']",41.933031,-87.756458,False,George near Laramie,2,1,2022-01-07 12:54,,,
7429867734,Tons of Space in 3BD/2BA! Available Now!,1600.0, (Douglas Park city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-tons-of-space-in-3bd-2ba/7429867734.html,craigslist,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']",41.857276,-87.695647,False,18th near California,3,2,2022-01-07 12:51,,,
7429866266,Perfection In Pilsen! 2BD/2BA Available Now!,1600.0, (Pilsen city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-perfection-in-pilsen-2bd-2ba/7429866266.html,craigslist,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'street parking', 'rent period: monthly']",41.848532,-87.678153,False,Coulter near Hoyne,2,2,2022-01-07 12:48,,,
7429863357,--MUST SEE--2 BED IN ROSCOE VILLAGE--GREAT SPACE--TOP FLOOR--,1995.0, (Roscoe Village city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-must-see-bed-in-roscoe-village/7429863357.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no parking']",41.9464,-87.7042,False,,2,1,2022-01-07 12:43,,,
7429850773,Roscoe Village Top Floor 2 Bed - Tons of Charm- Free Heat - Laundry,1995.0, (Roscoe Village city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-roscoe-village-top-floor-bed/7429850773.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'no parking']",41.946832,-87.678855,True,Damen near Addison,2,1,2022-01-07 12:22,,,
7429840460,Luxury 2 Bed 2 Bath,2210.0, (River North city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-luxury-bed-bath/7429840460.html,craigslist,"['air conditioning', 'application fee details: $50', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'attached garage', 'rent period: monthly', 'wheelchair accessible']",41.8971,-87.6223,False,Ohio St,2,2,2022-01-07 12:04,1233ft2,,
7429823646,JUST LISTED: Rehabbed 3BR in W. Wicker Park,1750.0, (W. Wicker Park / E. Humboldt Park city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-just-listed-rehabbed-3br-in/7429823646.html,craigslist,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'no smoking', 'street parking', 'rent period: monthly']",41.903008,-87.695143,False,2724 W Division St near California,3,1,2022-01-07 11:35,1150ft2,,
7429816871,"Lincoln Park 2 Bedroom Apartment- Parking, Laundry-in unit, Central AC",2280.0, (Lincoln Park city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-lincoln-park-bedroom-apartment/7429816871.html,craigslist,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'detached garage', 'rent period: yearly']",41.9229,-87.6483,False,2216 N Geneva Terracee near Webster,2,1,2022-01-07 11:24,,,
7429813249,Stylish 2 Bed/ 1 Bath Apartment in Hip Chicago Neighborhood,1595.0, (Chicago city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-stylish-bed-bath-apartment-in/7429813249.html,craigslist,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: yearly']",41.940949,-87.718969,False,3643 W School St,2,1,2022-01-07 11:17,800ft2,,
